Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Ayres,William,Hanes,,,02/05/1916,12/20/2000,2,U.S. Representative,Republican,OH,14,01/03/1951,01/03/1972,Methodist,White,Bachelor's degree,Business or banking,,,,,Army,,
Babin,Brian,,,,03/23/1948,,2,U.S. Representative,Republican,TX,36,01/20/2015,01/03/2023,Southern Baptist,White,Doctorate degree,Medicine,,,,,Air Force,Army Reserve,Texas National Guard
Baca,Joe,,,,01/23/1947,,2,U.S. Representative,Democrat,CA,43,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,
Baca,Joe,,,,01/23/1947,,2,U.S. Representative,Democrat,CA,42,11/16/1999,01/03/2003,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,
Bacchus,James,L.,,,06/21/1949,,2,U.S. Representative,Democrat,FL,11,01/03/1991,01/03/1993,Presbyterian,White,Professional degree,Journalism,Public service/politics,,,,Army National Guard,,
Bacchus,James,L.,,,06/21/1949,,2,U.S. Representative,Democrat,FL,15,01/05/1993,01/03/1995,Presbyterian,White,Professional degree,Journalism,Public service/politics,,,,Army National Guard,,
Bachmann,Michele,,,,04/06/1956,,1,U.S. Representative,Republican,MN,6,01/03/2007,01/03/2015,Evangelical Lutheran,White,Professional degree,Law,,,,,Did not serve,,
Bachus,Spencer,,,,12/28/1947,,2,U.S. Representative,Republican,AL,6,01/05/1993,01/03/2015,Baptist,White,Professional degree,Business or banking,Law,,,,National Guard,,
Bacon,Don,,,,09/16/1963,,2,U.S. Representative,Republican,NE,2,01/20/2017,01/03/2023,Nondenominational,White,Master's degree,,,,,,Air Force,,
Badham,Robert,Edward,,,06/09/1929,10/21/2005,2,U.S. Representative,Republican,CA,40,01/04/1977,01/03/1989,Lutheran,White,Bachelor's degree,Business or banking,,,,,Navy,,
Badillo,Herman,,,,08/21/1929,12/03/2014,2,U.S. Representative,Democrat,NY,21,01/21/1971,01/03/1979,Protestant,Hispanic,Doctorate degree,Education,Law,Public service/politics,,,Did not serve,,
Baesler,Scotty,,,,07/09/1941,,2,U.S. Representative,Democrat,KY,6,01/05/1993,01/03/1999,Independent Christian,White,Master's degree,Agriculture,Law,,,,Army Reserve,,
Bafalis,Louis,Arthur,,,09/28/1929,,2,U.S. Representative,Republican,FL,10,01/03/1973,01/03/1983,Christian,White,Bachelor's degree,Public service/politics,,,,,Army,,
Bailey,Cleveland,Monroe,,,07/15/1886,07/13/1965,2,U.S. Representative,Democrat,WV,3,01/03/1945,01/03/1947,Baptist,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,
Bailey,Cleveland,Monroe,,,07/15/1886,07/13/1965,2,U.S. Representative,Democrat,WV,3,01/03/1949,01/03/1963,Baptist,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,
Bailey,Donald,A.,,Don,07/21/1945,03/09/2020,2,U.S. Representative,Democrat,PA,21,01/15/1979,01/03/1983,Presbyterian,White,Professional degree,Law,,,,,Army,,
Bailey,Wendell,,,,07/30/1940,,2,U.S. Representative,Republican,MO,8,01/05/1981,01/03/1983,Baptist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Baird,Brian,,,,03/07/1956,,2,U.S. Representative,Democrat,WA,3,01/03/1999,01/03/2011,Protestant,White,Doctorate degree,Education,Medicine,,,,Did not serve,,
Baird,Jim,,,,06/04/1945,,2,U.S. Representative,Republican,IN,4,01/20/2019,01/03/2023,Christian,White,Doctorate degree,,,,,,,,
Baker,Bill,,,,06/14/1940,,2,U.S. Representative,Republican,CA,10,01/05/1993,01/03/1997,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Coast Guard Reserve,,
Baker,Howard,Henry,Sr.,,01/12/1902,01/07/1964,2,U.S. Representative,Republican,TN,2,01/03/1951,01/07/1964,Presbyterian,White,Professional degree,Business or banking,Journalism,Law,,,Did not serve,,
Baker,Irene,Bailey,,,11/17/1901,04/02/1994,1,U.S. Representative,Republican,TN,2,03/10/1964,01/03/1965,Presbyterian,White,High School graduate,Public service/politics,,,,,Did not serve,,
Baker,LaMar,,,,12/29/1915,06/20/2003,2,U.S. Representative,Republican,TN,3,01/21/1971,01/03/1975,Church of Christ,White,Bachelor's degree,Business or banking,,,,,Army Air Corps,,
Baker,Richard,H.,,,05/22/1948,,2,U.S. Representative,Republican,LA,6,01/06/1987,02/02/2008,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,
Bakewell,Claude,Ignatius,,,08/09/1912,03/18/1987,2,U.S. Representative,Republican,MO,11,01/03/1947,01/03/1949,Not specified,White,Professional degree,Law,,,,,Navy,,
