,icpsr,degree,clustering,pagerank,name,name_dw,party,state
211,40304,258.62177116716754,0.0024828736329380856,0.0020781577426209463,L. ALEXANDER,"ALEXANDER, Lamar",R,TN
212,40502,141.86257831828067,0.004672440317165223,0.0014082077763366905,B. OBAMA,"OBAMA, Barack",D,IL
213,40910,501.3869171785573,0.004583945437072844,0.0033860337513493158,M. BENNET,"BENNET, Michael F.",D,CO
214,49101,199.140295435073,0.004177040308043749,0.0016715435738966576,P. WELLSTONE,"WELLSTONE, Paul David",D,MN
215,49300,1172.0515621362088,0.00387557636120197,0.008352504963493303,D. FEINSTEIN,"FEINSTEIN, Dianne",D,CA
216,49301,110.52713186157257,0.0024112338698736423,0.0012946758434966806,P. COVERDELL,"COVERDELL, Paul",R,GA
217,49306,350.7149222438171,0.0029487427020544513,0.0033618313757905827,K. HUTCHISON,"HUTCHISON, Kathryn Ann Bailey (Kay)",R,TX
218,49307,156.38478570546278,0.002246139357388246,0.0014174149495431439,R. BENNETT,"BENNETT, Robert",R,UT
219,49308,720.1189539697075,0.003557273626854434,0.004561887564919089,P. MURRAY,"MURRAY, Patty",D,WA
220,49309,443.1080248951177,0.004462782855996019,0.00404250964800525,R. FEINGOLD,"FEINGOLD, Russell Dana",D,WI
221,49501,69.27920243999729,0.0022847695901461527,0.0009743312927306474,J. ASHCROFT,"ASHCROFT, John David",R,MO
222,49503,83.62489637297688,0.002460936546216458,0.0013584842500288122,F. THOMPSON,"THOMPSON, Fred Dalton",R,TN
223,49700,211.7406502395542,0.0022862838401229778,0.0013825050998280822,J. SESSIONS,"SESSIONS, Jefferson Beauregard III (Jeff)",R,AL
224,49701,105.74816455590147,0.0028152232853116328,0.0009831789640605763,J. CLELAND,"CLELAND, Joseph Maxwell (Max)",D,GA
225,49703,1013.6417622626548,0.004151895480891697,0.0061061505668734304,S. COLLINS,"COLLINS, Susan Margaret",R,ME
226,49704,189.90614989107445,0.0028916161511446416,0.0014632758062158057,C. HAGEL,"HAGEL, Charles Timothy (Chuck)",R,NE
